overall_pick_number,first_name,player
1,Josias,Clyde Edwards-Helaire
2,Spencer,CeeDee Lamb
3,Josiah,Jonathan Taylor
4,Nick,J.K. Dobbins
5,Derek,Cam Akers
6,Gary,D'Andre Swift
7,Matt,Jerry Jeudy
8,Nick,Jalen Reagor
9,Mark,Henry Ruggs III
10,Daniel,Zack Moss
11,Josias,Justin Jefferson
12,Spencer,KJ Hamler
13,Josiah,Michael Pittman Jr.
14,Luke,Tee Higgins
15,Derek,Brandon Aiyuk
16,Gary,Matt Breida
17,Matt,Joe Burrow
18,Nick,Antonio Gibson
19,Mark,Hayden Hurst
20,Derek,Laviska Shenault Jr.
21,Josias,Bryan Edwards
22,Spencer,Ke'Shawn Vaughn
23,Josiah,
24,Derek,Jack Doyle
25,Derek,
26,Gary,Tua Tagovailoa
27,Matt,Chase Claypool
28,Nick,
29,Mark,
30,Daniel,Rob Gronkowski
31,Josias,Justin Herbert
32,Spencer,Jimmy Garoppolo
33,Josiah,Denzel Mims
34,Luke,AJ Dillon
35,Derek,Ryquell Armstead
36,Gary,John Brown
37,Matt,Tony Pollard
38,Nick,Antonio Gandy-Golden
39,Mark,Jared Goff
40,Daniel,Allen Lazard
41,Josias,Blake Jarwin
42,Spencer,Justin Jackson
43,Josiah,Boston Scott
44,Luke,Quintez Cephus
45,Derek,Steven Sims Jr.
46,Gary,Devin Duvernay
47,Matt,O.J. Howard
48,Nick,Van Jefferson
49,Mark,Breshad Perriman
50,Daniel,Joshua Kelley
51,Josias,Teddy Bridgewater
52,Spencer,Larry Fitzgerald
53,Josiah,Chris Herndon
54,Luke,Cole Kmet
55,Derek,Greg Olsen
56,Gary,Russell Gage
57,Matt,Reggie Bonnafon
58,Nick,Will Dissly
59,Mark,Jamaal Williams
60,Daniel,Jonnu Smith
